Table 21: US Population Estimates by State - 1991 - 2014 (in Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
Alabama,"4,099","4,154","4,214","4,260","4,297","4,331","4,368","4,405","4,430","4,452","4,468","4,480","4,503","4,531","4,570","4,629","4,673","4,718","4,758","4,785","4,800","4,816","4,829","4,843",0.7%,,
Arkansas,"2,383","2,416","2,456","2,494","2,535","2,572","2,601","2,626","2,652","2,679","2,692","2,706","2,725","2,750","2,781","2,822","2,849","2,875","2,897","2,922","2,939","2,951","2,959","2,967",1.0%,,
Florida,"13,370","13,651","13,927","14,239","14,538","14,853","15,186","15,487","15,759","16,048","16,357","16,689","17,004","17,415","17,842","18,167","18,368","18,527","18,653","18,849","19,097","19,344","19,582","19,889",1.7%,,
Georgia,"6,653","6,817","6,978","7,157","7,328","7,501","7,685","7,864","8,046","8,227","8,377","8,508","8,623","8,769","8,926","9,156","9,350","9,505","9,621","9,714","9,812","9,915","9,985","10,087",1.8%,,
Kentucky,"3,722","3,765","3,812","3,849","3,887","3,920","3,953","3,985","4,018","4,049","4,068","4,090","4,117","4,146","4,183","4,219","4,257","4,290","4,317","4,349","4,369","4,385","4,400","4,413",0.7%,,
Louisiana,"4,253","4,293","4,316","4,347","4,379","4,399","4,421","4,440","4,461","4,472","4,478","4,497","4,521","4,552","4,577","4,303","4,376","4,436","4,492","4,545","4,575","4,603","4,626","4,648",0.4%,,
Mississippi,"2,599","2,624","2,655","2,689","2,723","2,748","2,777","2,805","2,828","2,848","2,853","2,859","2,868","2,889","2,906","2,905","2,928","2,948","2,959","2,970","2,978","2,985","2,990","2,992",0.6%,,
North Carolina,"6,784","6,897","7,043","7,187","7,345","7,501","7,657","7,809","7,949","8,082","8,210","8,326","8,423","8,553","8,705","8,917","9,118","9,309","9,450","9,559","9,651","9,746","9,842","9,934",1.7%,,
South Carolina,"3,570","3,620","3,663","3,705","3,749","3,796","3,860","3,919","3,975","4,024","4,065","4,108","4,150","4,211","4,270","4,358","4,444","4,529","4,590","4,636","4,673","4,721","4,768","4,828",1.3%,,
Tennessee,"4,967","5,050","5,138","5,231","5,327","5,417","5,499","5,570","5,639","5,704","5,751","5,796","5,848","5,911","5,991","6,089","6,176","6,247","6,306","6,357","6,398","6,454","6,495","6,545",1.2%,,
Virginia,"6,301","6,414","6,510","6,593","6,671","6,751","6,829","6,901","7,000","7,106","7,198","7,287","7,367","7,476","7,577","7,674","7,751","7,833","7,926","8,026","8,110","8,192","8,263","8,317",1.2%,,
West Virginia,"1,799","1,806","1,818","1,820","1,824","1,823","1,819","1,816","1,812","1,807","1,801","1,805","1,812","1,816","1,820","1,828","1,834","1,840","1,848","1,854","1,855","1,857","1,853","1,849",0.1%,,
Southwest,"25,917","26,491","27,116","27,772","28,420","29,020","29,625","30,240","30,827","31,381","31,892","32,431","32,924","33,475","34,098","34,945","35,624","36,269","36,899","37,477","37,978","38,522","39,036","39,625",1.9%,,
Arizona,"3,789","3,916","4,065","4,245","4,432","4,587","4,737","4,883","5,024","5,161","5,273","5,396","5,510","5,652","5,839","6,029","6,168","6,280","6,343","6,408","6,467","6,550","6,625","6,720",2.5%,,
New Mexico,"1,555","1,595","1,636","1,682","1,720","1,752","1,775","1,793","1,808","1,821","1,832","1,855","1,878","1,904","1,932","1,962","1,990","2,011","2,037","2,065","2,078","2,084","2,085","2,083",1.3%,,
Oklahoma,"3,175","3,221","3,252","3,281","3,308","3,340","3,373","3,405","3,437","3,454","3,467","3,489","3,505","3,525","3,549","3,594","3,634","3,669","3,718","3,760","3,786","3,817","3,852","3,877",0.9%,,
Texas,"17,398","17,760","18,162","18,564","18,959","19,340","19,740","20,158","20,558","20,944","21,320","21,690","22,031","22,394","22,778","23,360","23,832","24,309","24,802","25,244","25,646","26,072","26,474","26,945",1.9%,,
Rocky Mountains,"7,477","7,696","7,939","8,171","8,380","8,565","8,746","8,918","9,094","9,269","9,431","9,567","9,675","9,808","9,972","10,190","10,406","10,610","10,794","10,950","11,084","11,224","11,379","11,532",1.9%,,
